Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,34.63999938964844,34.91999816894531,31.06999969482422,32.16999816894531,32.16999816894531,29515600
2021-01-05,30.790000915527344,33.09000015258789,30.399999618530273,32.54999923706055,32.54999923706055,18544000
2021-01-06,34.369998931884766,36.86000061035156,33.720001220703125,35.0,35.0,45988500
2021-01-07,43.599998474121094,47.310001373291016,43.15999984741211,47.290000915527344,47.290000915527344,98454300
2021-01-08,51.97999954223633,55.97999954223633,49.20000076293945,53.779998779296875,53.779998779296875,100750500
2021-01-11,48.86000061035156,54.349998474121094,47.619998931884766,53.970001220703125,53.970001220703125,46139000
2021-01-12,62.400001525878906,66.06999969482422,60.83000183105469,66.0199966430664,66.0199966430664,109979100
2021-01-13,70.30000305175781,73.9000015258789,64.12999725341797,69.5,69.5,153092700
2021-01-14,66.22000122070312,68.55000305175781,63.7599983215332,66.54000091552734,66.54000091552734,89190000
2021-01-15,63.150001525878906,65.0,57.31999969482422,60.13999938964844,60.13999938964844,80671000
2021-01-19,63.63999938964844,68.44999694824219,62.22999954223633,66.47000122070312,66.47000122070312,62967300
2021-01-20,65.80999755859375,65.8499984741211,60.279998779296875,62.5,62.5,64225700
2021-01-21,60.04999923706055,65.33000183105469,58.72999954223633,63.689998626708984,63.689998626708984,55559800
2021-01-22,62.29999923706055,67.0199966430664,61.959999084472656,66.87000274658203,66.87000274658203,40373300
2021-01-25,66.47000122070312,70.58000183105469,63.150001525878906,65.72000122070312,65.72000122070312,35466900
2021-01-26,67.63999938964844,75.48999786376953,66.0,73.18000030517578,73.18000030517578,70505800
2021-01-27,64.05000305175781,69.51000213623047,62.95000076293945,64.41999816894531,64.41999816894531,72967800
2021-01-28,65.5999984741211,68.0,62.9900016784668,65.27999877929688,65.27999877929688,41440400
2021-01-29,65.8499984741211,67.1500015258789,62.36000061035156,63.16999816894531,63.16999816894531,28717200
2021-02-01,64.29000091552734,65.69999694824219,60.77000045776367,63.849998474121094,63.849998474121094,19010200
2021-02-02,64.08999633789062,64.93000030517578,61.029998779296875,64.25,64.25,24272700
2021-02-03,65.91000366210938,68.68000030517578,63.150001525878906,67.37999725341797,67.37999725341797,28055500
2021-02-04,68.25,70.51000213623047,67.26000213623047,67.66999816894531,67.66999816894531,21240500
2021-02-05,69.0,69.0999984741211,65.4800033569336,65.7699966430664,65.7699966430664,18125900
2021-02-08,66.11000061035156,67.19999694824219,64.66000366210938,66.19000244140625,66.19000244140625,15920700
2021-02-09,65.56999969482422,69.87999725341797,65.55000305175781,67.4800033569336,67.4800033569336,23365800
2021-02-10,68.97000122070312,69.0,62.400001525878906,64.33000183105469,64.33000183105469,27217000
2021-02-11,65.0,65.58999633789062,62.900001525878906,63.9900016784668,63.9900016784668,13892200
2021-02-12,63.15999984741211,64.12999725341797,61.59000015258789,63.189998626708984,63.189998626708984,12324500
2021-02-16,65.01000213623047,65.01000213623047,55.93000030517578,59.0,59.0,32163300
2021-02-17,57.0,58.79999923706055,55.099998474121094,56.22999954223633,56.22999954223633,21717200
2021-02-18,51.880001068115234,54.47999954223633,50.060001373291016,50.22999954223633,50.22999954223633,34222100
2021-02-19,53.189998626708984,57.779998779296875,52.599998474121094,55.88999938964844,55.88999938964844,34719700
2021-02-22,54.209999084472656,54.45000076293945,48.0099983215332,48.599998474121094,48.599998474121094,34830500
2021-02-23,44.81999969482422,47.13999938964844,37.220001220703125,46.58000183105469,46.58000183105469,48792800
2021-02-24,48.11000061035156,50.25,46.2599983215332,50.15999984741211,50.15999984741211,30004300
2021-02-25,46.0099983215332,48.75,43.20000076293945,43.34000015258789,43.34000015258789,38222500
2021-02-26,44.68000030517578,49.810001373291016,44.5099983215332,48.380001068115234,48.380001068115234,55079400
2021-03-01,53.0,53.099998474121094,50.63999938964844,52.459999084472656,52.459999084472656,27516100
2021-03-02,51.4900016784668,51.72999954223633,48.40999984741211,48.779998779296875,48.779998779296875,24729900
2021-03-03,48.2400016784668,49.56999969482422,43.560001373291016,43.810001373291016,43.810001373291016,26227000
2021-03-04,42.47999954223633,44.869998931884766,37.470001220703125,40.02000045776367,40.02000045776367,49365800
